day,timestamp,filesize,table_count,index_count,total_rows_count
1,2024-09-01T21:36:06Z,147456,9,17,68
2,2024-09-01T21:36:15Z,147456,9,17,68
3,2024-09-01T21:36:18Z,147456,9,17,68
4,2024-09-01T21:36:19Z,147456,9,17,68
5,2024-09-01T21:36:20Z,147456,9,17,68
6,2024-09-01T21:36:21Z,147456,9,17,68
7,2024-09-01T21:36:21Z,147456,9,17,68
8,2024-09-01T21:36:22Z,147456,9,17,68
9,2024-09-01T21:36:23Z,147456,9,17,68
10,2024-09-01T21:36:24Z,147456,9,17,68
11,2024-09-01T21:36:24Z,147456,9,17,68
12,2024-09-01T21:36:24Z,147456,9,17,68
13,2024-09-01T21:36:25Z,147456,9,17,68
14,2024-09-01T21:36:25Z,147456,9,17,68
15,2024-09-01T21:36:25Z,147456,9,17,68
16,2024-09-01T21:36:25Z,147456,9,17,68
17,2024-09-01T21:36:26Z,147456,9,17,68
18,2024-09-01T22:47:52Z,147456,9,17,68
